review_id,reviewer,rating,date,review,reviewer_url,source_file
Ci9DQUlRQUNvZENodHljRjlvT25Gd2VtcEhTSE5DVFdKSGVrTmhRMnRpVXkxaU1YYxAB,Debbreca Long,1,a year ago,Finally checked this place out.  Way over priced for clothes made in Vietnam and Cambodia. I guess when a brand gets a hype and some traction they think they can sell got a sweater for 178 made in Cambodia or Vietnam. What a waste of money. …,https://www.google.com/maps/contrib/117267175497261064937/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2pJMGVrTnZjRVYwZUZWUWEzZFdUbEUxT0doS1NXYxAB,Sarah A,3,11 months ago,"I always shop here and love the staff !!!!! However every time Camila or Kamila, the blonde girl acts like she’s got an attitude problem.. Is she getting dumped by her boyfriend before every shift or what? I’m genuinely curious.",https://www.google.com/maps/contrib/118403689827607759901/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21keGVXWllSek4yVkRjek5XZzJka2RqWDNFNVdrRRAB,Straighforward,5,3 months ago,Lovely staff they even have an elevator for if you cant walk upstairs,https://www.google.com/maps/contrib/116025331434232559276/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VJQ0FnSUNYajZMUE5REAE,TimeFor PM,5,Edited a year ago,I’m going to respond to Lily’s review where she very pretentiously states that customers make 3x the salaries so they deserve respect. Imagine how incredibly tasteless and miserable you have to be to bring down part-time young students who …,https://www.google.com/maps/contrib/112169094747154162001/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChdDSUhNMG9nS0VJQ0FnSURQbTdTbXBRRRAB,Maxim Lizotte,5,a year ago,I don’t understand all the negative reviews. It was my first time in a Alo store and I had an amazing experience! I learnt that everything in store is 30% less expensive than on their website! The whole staff was welcoming and went above …,https://www.google.com/maps/contrib/113595102138754738777/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2pobmFtWXdOWFJxTUhSdlJWbFpPVGxpTFVwdVMzYxAB,Kelly,5,2 months ago,Such kind and helpful employees. Cute clothes,https://www.google.com/maps/contrib/102655382796086871459/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChdDSUhNMG9nS0VJQ0FnTUNZMHREM3ZBRRAB,Eva Papadakis,1,a year ago,"this was my first visit, but encountered very rude costumer service. i understand there are only three  dressing rooms upstairs and a line of people waiting, however i was rushed out of there within the first 5 minutes of trying on 5 items …",https://www.google.com/maps/contrib/113448405086840713424/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2xrMGFHRjBWVUl5YTFsbWFGUkVkR1JEZG1kRVJFRRAB,Riccardo Bonilla,5,a year ago,"amazing experience! team is extremely knowledgeable and very sweet! Best shoes I ever bought!! happy team, can’t wait to come back",https://www.google.com/maps/contrib/111918167148813754274/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChdDSUhNMG9nS0VJQ0FnSURQa2NDaXN3RRAB,isa cas (Isa),1,a year ago,I had a horrible experience in this store!  I came in really exited to shop but the sales associates wouldn’t even greet me from far. I tried a few items that i liked but i never got offered any help. At some point a sales associate stood a …,https://www.google.com/maps/contrib/103825107787897651779/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VNVFBzY1RPcTVLbVF3EAE,Julie G,5,a year ago,"Beautiful, clean, and spacious two-floor store with a great selection of shoes too. Loved the styling and overall experience—I'll definitely be back!:)",https://www.google.com/maps/contrib/103176925490204369323/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2pGemNEazRkakE1U2t4RE0xUjZXVzlmV0hwRGNrRRAB,Tamara Bedoshvili,5,a year ago,"Had a great experience at Alo! The selection was stylish and well-organized. Huge shoutout to Madi— she was friendly, knowledgeable, and genuinely helpful. Will definitely be back!",https://www.google.com/maps/contrib/102541469095101266423/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VJQ0FnTURJcnBmQkNBEAE,K N,4,a year ago,"Great customer service! Staff are knowledgeable, give honest feedback, and very helpful. Of course the products are a tad over-priced, but that's not the staff's fault. 😅 Hoping tariffs will not make it worse!",https://www.google.com/maps/contrib/114262424393652694426/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VOYW9sNjJwNzZQLWJ3EAE,Eva Inso,5,a year ago,Alberto has fantastic customer service skills. I normally don’t leave reviews but he made my shopping experience really great. From start to finish! Thanks Alberto,https://www.google.com/maps/contrib/107069492091749548696/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChdDSUhNMG9nS0VJQ0FnSUMzdXUzWHpnRRAB,M P,5,a year ago,Amazing experience in the boutique today thanks to Julie. She was of great help and took the time to recommend items she thought I would like and really made sure I got everything I needed!! :),https://www.google.com/maps/contrib/118280671420212629960/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25GQlRYcGtibTQyVDBSalQxTnpUbGxoYXkxUVYzYxAB,Manuela Simo,5,a year ago,"Had such an amazing with the TEAM! I want to give a special thank you to the manager, he really helped me with picking the perfect piece for me!!",https://www.google.com/maps/contrib/113724211097598797941/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT210R1VXeFhjbGd5YlZOM1pubG1UMnN6VlhOdVMzYxAB,Fatima,5,11 months ago,"Customer service is 10/10, I had a great experience at this store 😊",https://www.google.com/maps/contrib/100917289442679286501/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2twSlJYTlhhVEptU2tGbFEyWXdZalE0VVhCUVEwRRAB,Rahul Patel,1,a year ago,"I thought I can give Alo a chance since I’m so used to Lululemon but the quality is honestly garbage, the pants are so low quality even if you follow the instructions for wash it’s not the best, not worth the money rather stick to Lulu",https://www.google.com/maps/contrib/109803843273155538131/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VJQ0FnSURIZ2VxVEVBEAE,Melissa B,1,a year ago,This store opened 1 week ago and they don’t have 4 items in stock in the sizes i asked but besides that they didn’t open at 10:00 am it was 10:05 and they still weren’t opened when the girl came to open the door she was rude and didn’t even …,https://www.google.com/maps/contrib/101314420075457995731/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChdDSUhNMG9nS0VJQ0FnSUNQNmRhNy1nRRAB,olivia cianci,5,a year ago,"Amazing customer service amazing workers, was served today by Agla. Had such a lovely experience, super friendly and patient. Will be returning to this location for all purchases <3",https://www.google.com/maps/contrib/106769873680382645652/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VQYlk0Nl9qN0lDWWNBEAE,Ben Clements,5,a year ago,"The best customer service ever. Agla is such a great employee!! I’ve shopped at Alo in Ottawa, toronto and Orlando. This is the best yet 🤩",https://www.google.com/maps/contrib/105344223604356351104/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21nd2RqQXlPR0pVWkhWRFp6WnVkMVJNVG04ME5WRRAB,Paulo Augusto,5,8 months ago,I had the best experience and service. Thanks to Rene. Very patience and friendly. Thank you so much again Rene,https://www.google.com/maps/contrib/104123750529463137513/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2xwcmRUVTBNbXBhVVhCQ1kwUkpTMGxzU0hoblMxRRAB,Nelson Smyles,5,a year ago,Alberto was a gentleman and found me exactly what I was looking for! Will definitely be back.,https://www.google.com/maps/contrib/108769312181656419007/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25oeWJXeFhZMkpCYVMweU1FdElTSGxQUVhOS2VVRRAB,Nilou Fr,1,a year ago,"Congratulations to ALO HEAD OFFIC to have this garbage branch, and ROOD customer service, i wish i could give zero star, you better to fire at least all rood girls staff there and make a new team, otherwise you will loose your regular customers on this branch, and you already lost actually",https://www.google.com/maps/contrib/107867503525147214375/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25wcWEyTXRSMGN4Y1hKbmRsODRabTlWV0Vwb1pWRRAB,Filomena Iannaccone,5,a year ago,Amazing service .. Thank you for all your help. I will let my friends and family know about this wonderful store.,https://www.google.com/maps/contrib/109454601273784086341/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21oc1JFcG5TMVZGZFd0RWMxRTJkbFkxU1U1VWFtYxAB,Stefania Lipari,5,a year ago,Amazing service from Roberto and the team! Excellent product! Continue the amazing service everyone.,https://www.google.com/maps/contrib/117000219648634235499/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VPcUk5dGY0enVLUlZ3EAE,alessio bolusi,5,a year ago,Absolutely amazing customer service and an incredible selection—couldn’t ask for more!,https://www.google.com/maps/contrib/108217821126011891118/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25kTFV6STBOa05vTW10eVpqSlNNVU5ITms5ek0yYxAB,Jaycee,1,4 months ago,Worst service ever,https://www.google.com/maps/contrib/100306307315942992870/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VJQ0FnTUNBMWUyV2RnEAE,Catherine Marquis-Harvey,5,a year ago,Excellent customer service in English AND French.,https://www.google.com/maps/contrib/106124257705173641831/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25aeFZubEZSM1l0U2pSRFRVUlJOVEY0ZUZkeFRsRRAB,Hana Elassal,5,a year ago,Very sweet and kind workers 💛💛💛,https://www.google.com/maps/contrib/111019053556169317826/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2tKMFpWTmxSalZaUjE5QmFYTnhkRlIyVFMxd1VIYxAB,Macrina Megaly,5,a year ago,Ask for René …such a great help,https://www.google.com/maps/contrib/115628238451483362796/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChdDSUhNMG9nS0VJQ0FnSURIejlIYmxnRRAB,Mario,5,a year ago,Awesome!,https://www.google.com/maps/contrib/100858793024184473000/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VJQ0FnSUNIOFlTVFFBEAE,Brahim Kerkoub,5,a year ago,The best ❤️,https://www.google.com/maps/contrib/101761828892663215829/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2pOeGQxSnhlVVo0TVRGcE0wMTVZMnRDVVVKMGRGRRAB,Gisele M,5,a week ago,"Amazing selection, amazing team! Kudos to Camila for helping me find the right pants that would suit my body type! I bought 3 pairs of pants and two tops, and would definitely go back for more!⭐️🤩",https://www.google.com/maps/contrib/103116840521346158819/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT214MWMwSndkRzkzVmtWYWNIb3RNVGRtY2xCcE0xRRAB,Claudia Catering,5,3 weeks ago,"I was downtown and decided to take my nieces out for a little shopping. Alo was our stop, and Roberto was our salesperson. From the moment we arrived, Roberto was fantastic. He was informative, knowledgeable about the products, and …",https://www.google.com/maps/contrib/113798464753150758378/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21wa1NsVXlOR3g1VEd4WFdqSnhZVUV5VkhoUk9HYxAB,Karina Muller,1,3 weeks ago,"Nothing like walking into the store at 8:30 and being told by every sales person they’re closing soon (let me clarify they close at 9:00). Even though I knew what I wanted to buy, I will take my money and spend it elsewhere… hello Lululemon!",https://www.google.com/maps/contrib/102676646771344135086/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2tSNFV6RlFaRVppVDA0M2VsUmFkbFJ4Y0hnMExWRRAB,Lili Fourche,1,2 months ago,Très déçue de mon expérience avec Alo Montréal. J’ai acheté cette paire de baskets neuves en boutique lors d’un séjour à …,https://www.google.com/maps/contrib/116578695595266195757/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2kxeGJYWTNla1phYUdjNU9GRldkVlZpWWxoelJsRRAB,Laurence Longpré,1,5 months ago,"Lors de ma visite au magasin, plusieurs leggings étaient affichés sur le raque avec un prix de 0,00 $. Selon la Loi sur la protection du consommateur du Québec et la politique d’exactitude des prix, le prix affiché doit être respecté. …",https://www.google.com/maps/contrib/112275396667062069026/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21WT2VXMXFUMlpoYkhkdWVFdHhhVjlEUWs1elZtYxAB,Track MTL,5,8 months ago,"Alberto .. un professionnel attentionné ! Il a eu la gentillesse de faire des recherches pour changer mon modèle et m’orienter au mieux, sans me pousser à l’achat. Un véritable atout pour le magasin, et toute l’équipe était vraiment au top. Je recommande vivement !",https://www.google.com/maps/contrib/118426588444092559558/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21OTmJWZHRZMUpVUTJodE0zcFpZa1p1VkZCbGQwRRAB,Cindy Desormeaux,1,a month ago,Pire magasin! A éviter! Service client de merde! En particulier le gérant Roberto condescendant au maximum zéro professionnel! Vêtements très dispendieux et qualité médiocre!,https://www.google.com/maps/contrib/110372969607786319380/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2poSmEwSnBhRGw2UzNVd05XRnhSR3BwVW5sYVQzYxAB,Marc-André Ravary,5,8 months ago,"J'y ai acheté des cadeaux pour ma femme et j'ai été impressionné par la quantité et la gentilesse du personnel sur place. Si tu achètes du Alo, c'est que tu as les moyens. C'est super dispendieux et je crois que tu payes pour service et le …",https://www.google.com/maps/contrib/108314444666453718024/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25kTFdsUTNSSFZhTjBWcmRHaG5Na2QyVW5WdlJtYxAB,Hajar Essalih,5,9 months ago,"30% sur tout, that’s insane !!  🤯🤯 Je viens de quitter le magasin ce matin après 1h passé avec René, chouette type …",https://www.google.com/maps/contrib/112617739985164160876/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25KT09HOUdiVzUwU0ZaVVpXOUhUM2x5Um1GUmQxRRAB,Doha JAAFAR,5,3 months ago,"Excellent service de la part d’Alberto!! Il a vraiment fait le nécessaire pour me trouver une solution et s’assurer que je reparte satisfaite. Très professionnel, patient et attentionné. Merci encore pour ton aide, c’est très apprécié !",https://www.google.com/maps/contrib/102804173848102789093/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21aa2EzWkRZMmxNV1ZOMWEzRTFXR052V25GcmFFRRAB,Pegah Niki-Rad,5,8 months ago,Service exceptionnel d’Alberto chez Alo sur Ste-Catherine Je tiens à souligner l’excellent service qu’Alberto m’a offert aujourd’hui. J’avais besoin d’un manteau qui n’était disponible qu’à Toronto et il en restait …,https://www.google.com/maps/contrib/101747764556551062975/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT204dFRXZDNSRk5LYm05SE9GbGtRWFpPT1ZwbmRHYxAB,Lili-Rose St-Amant,1,5 months ago,Très déçu du service donné aujourd’hui. Je me sentais jugé en raison de mon jeune âge. Malheureusement je ne pense pas retourner à la boutique Alo sur ste-Catherine.,https://www.google.com/maps/contrib/101702666713809923418/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2twT1pYcHpaelJ2U1RGdE5HUjVXV2huYldaQlpFRRAB,Walou Msr (Walou),5,9 months ago,J’avais entendu parler de cette marque depuis un moment et je suis passé à la boutique du centre ville la semaine dernière pour la première fois. …,https://www.google.com/maps/contrib/110254357709057048054/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2pGUE1rdENNamt6U3pCbWRGSnFVemREUVdnNVdFRRAB,Azima Azadaly,5,9 months ago,Le service est exceptionnel.Le gérant et les vendeurs sont très gentils et d’une aide incroyable afin de trouver des articles selon votre besoin. L’ambiance dans la boutique est très sympa et les articles sont bien classés dans le magasin afin de rendre plus agréable le shopping.,https://www.google.com/maps/contrib/107638554723765465795/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT205VlozTm5OakJJUm5sMWIxY3RlVEUzTkdsdFpXYxAB,Oumnia Mesfioui,5,3 months ago,Super expérience d’achat avec nawres qui a été hyper à l’écoute et aux petits pendant mon passage,https://www.google.com/maps/contrib/117389140398073031633/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2kxbWVHWTFRbGRoTjA5SU9UTlFkbU42TjBKNlEyYxAB,Sara A,4,7 months ago,Je ne  comprends pourquoi les rabais du site ne correspondent pas aux prix du magasin et vice versa… sinon à part cela de beaux articles.. un peu overpriced puisque un simple set m’a couté 400$ mais bon !,https://www.google.com/maps/contrib/102923740228051035930/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2twV1psWmxZemxWWWxaeE5TMVJia3hxTmxwcWJrRRAB,wissal nachrah,1,8 months ago,"Si seulement je pouvais donner 0 étoile, le service à la clientèle le plus arrogant, les filles à la caisse sont très froide aucun enthousiasme aucun sourire , après 3 passage au magasin j’ai plus envie de retourner tellement ça me met mal …",https://www.google.com/maps/contrib/109757792733534779484/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2xkSFNHRXRXVzAyUnpsaVZqVnhZemRtVW5SR2FWRRAB,Benjamin Rondot,5,9 months ago,"De passage à Montréal, notre hôte Walid nous a conseillé de passer dans cette boutique. Accueil très chaleureux, des produits au top. Je recommande ! Merci à l’équipe.",https://www.google.com/maps/contrib/115273331218154369572/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChdDSUhNMG9nS0VJQ0FnSUQzNlBuYzJ3RRAB,David Merires,1,a year ago,Catastrophique !!!!!!!!! Je vous conseil d’éviter cet endroit. Premièrement le personnel est très désagréable. Deuxièmement le prix des articles n’est pas le même sur toutes les étiquettes pour le même produit. …,https://www.google.com/maps/contrib/115118748747668130386/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
